交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201811  ,9500.0000,買權,239,286,238,262,368,-,-,260,317,625,192,,盤後,
2018/10/26,TXO,201811  ,9500.0000,賣權,207,324,202,272,4424,272,8719,268,273,324,9.9,,一般,
2018/10/26,TXO,201811  ,9500.0000,賣權,235,238,168,194,2059,-,-,183,193,300,9.9,,盤後,
2018/10/26,TXO,201811  ,9600.0000,買權,201,212,123,145,10000,145,5026,144,145,1430,123,,一般,
2018/10/26,TXO,201811  ,9600.0000,買權,183,230,182,183,1085,-,-,183,205,1430,157,,盤後,
2018/10/26,TXO,201811  ,9600.0000,賣權,249,380,241,319,2928,319,6662,319,323,1040,11,,一般,
2018/10/26,TXO,201811  ,9600.0000,賣權,279,283,192,230,665,-,-,191,255,1040,11,,盤後,
2018/10/26,TXO,201811  ,9700.0000,買權,149,160,86,102,7095,102,5461,102,103,1300,86,,一般,
2018/10/26,TXO,201811  ,9700.0000,買權,136,179,134,153,1153,-,-,150,162,1300,115,,盤後,
2018/10/26,TXO,201811  ,9700.0000,賣權,299,440,288,371,2412,378,7007,377,386,440,12.5,,一般,
2018/10/26,TXO,201811  ,9700.0000,賣權,332,335,244,245,540,-,-,245,310,425,12.5,,盤後,
2018/10/26,TXO,201811  ,9800.0000,買權,103,114,58,70,9555,70,10124,70,71,432,58,,一般,
2018/10/26,TXO,201811  ,9800.0000,買權,95,127,94,106,2039,-,-,106,111,432,80,,盤後,
2018/10/26,TXO,201811  ,9800.0000,賣權,364,515,346,445,1081,445,7415,444,455,515,12.5,,一般,
2018/10/26,TXO,201811  ,9800.0000,賣權,392,392,294,330,505,-,-,290,333,490,12.5,,盤後,
2018/10/26,TXO,201811  ,9900.0000,買權,75,77,36,46,12798,46,10631,46,47,1150,36,,一般,
2018/10/26,TXO,201811  ,9900.0000,買權,61,88,61,88,2197,-,-,73,87,1150,54,,盤後,
2018/10/26,TXO,201811  ,9900.0000,賣權,433,595,408,520,364,520,4767,520,570,595,16.5,,一般,
2018/10/26,TXO,201811  ,9900.0000,賣權,461,461,390,401,176,-,-,230,450,555,16.5,,盤後,
2018/10/26,TXO,201811  ,10000.0000,買權,50,50,22.5,29,12517,29,16943,29,30,995,22.5,,一般,
2018/10/26,TXO,201811  ,10000.0000,買權,42,61,40,50,2535,-,-,49.5,54,995,33.5,,盤後,
2018/10/26,TXO,201811  ,10000.0000,賣權,505,685,497,595,185,605,3277,555,650,685,18.5,,一般,
